"RegionID","RegionName","SizeRank","X1996.04","X1996.05","X1996.06","X1996.07","X1996.08","X1996.09","X1996.10","X1996.11","X1996.12","X1997.01","X1997.02","X1997.03","X1997.04","X1997.05","X1997.06","X1997.07","X1997.08","X1997.09","X1997.10","X1997.11","X1997.12","X1998.01","X1998.02","X1998.03","X1998.04","X1998.05","X1998.06","X1998.07","X1998.08","X1998.09","X1998.10","X1998.11","X1998.12","X1999.01","X1999.02","X1999.03","X1999.04","X1999.05","X1999.06","X1999.07","X1999.08","X1999.09","X1999.10","X1999.11","X1999.12","X2000.01","X2000.02","X2000.03","X2000.04","X2000.05","X2000.06","X2000.07","X2000.08","X2000.09","X2000.10","X2000.11","X2000.12","X2001.01","X2001.02","X2001.03","X2001.04","X2001.05","X2001.06","X2001.07","X2001.08","X2001.09","X2001.10","X2001.11","X2001.12","X2002.01","X2002.02","X2002.03","X2002.04","X2002.05","X2002.06","X2002.07","X2002.08","X2002.09","X2002.10","X2002.11","X2002.12","X2003.01","X2003.02","X2003.03","X2003.04","X2003.05","X2003.06","X2003.07","X2003.08","X2003.09","X2003.10","X2003.11","X2003.12","X2004.01","X2004.02","X2004.03","X2004.04","X2004.05","X2004.06","X2004.07","X2004.08","X2004.09","X2004.10","X2004.11","X2004.12","X2005.01","X2005.02","X2005.03","X2005.04","X2005.05","X2005.06","X2005.07","X2005.08","X2005.09","X2005.10","X2005.11","X2005.12","X2006.01","X2006.02","X2006.03","X2006.04","X2006.05","X2006.06","X2006.07","X2006.08","X2006.09","X2006.10","X2006.11","X2006.12","X2007.01","X2007.02","X2007.03","X2007.04","X2007.05","X2007.06","X2007.07","X2007.08","X2007.09","X2007.10","X2007.11","X2007.12","X2008.01","X2008.02","X2008.03","X2008.04","X2008.05","X2008.06","X2008.07","X2008.08","X2008.09","X2008.10","X2008.11","X2008.12","X2009.01","X2009.02","X2009.03","X2009.04","X2009.05","X2009.06","X2009.07","X2009.08","X2009.09","X2009.10","X2009.11","X2009.12","X2010.01","X2010.02","X2010.03","X2010.04","X2010.05","X2010.06","X2010.07","X2010.08","X2010.09","X2010.10","X2010.11","X2010.12","X2011.01","X2011.02","X2011.03","X2011.04","X2011.05","X2011.06","X2011.07","X2011.08","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04"
9,"California",1,197000,196700,195900,195300,194900,194700,194500,194800,195400,196400,197600,198500,199300,200200,200900,201300,201700,202700,204100,205600,207400,209700,212300,212500,211700,212200,215500,219000,221900,223500,225400,227300,229200,230900,232600,234800,237000,239300,241500,243400,245100,247300,249800,252300,254800,257600,260700,264000,267400,270600,273300,275700,278100,280700,283300,286100,289300,292400,295500,299300,302900,305900,308200,310700,313600,316500,318800,320900,323400,326500,329700,333000,336800,341000,345300,350000,355300,360700,366300,372000,377300,382400,387500,392300,396600,400600,404600,409500,415000,420900,427600,435100,442500,450200,458500,467400,477800,489400,501300,512900,523700,532900,540800,548000,554800,560900,567500,574700,582100,589500,596800,604100,611200,618000,623800,628900,632900,635500,637400,638900,639400,638600,637100,634900,631900,628400,625000,621600,618200,615200,612500,609500,606200,602600,597600,591700,585600,579500,573500,566800,558200,548400,537900,526300,514300,503300,493100,483200,473400,464100,455300,446900,441200,438600,436300,432700,429200,425700,422600,420400,419200,418700,418600,418900,419500,419500,419500,419800,419800,419200,418100,416300,414200,412300,410500,408800,406700,404200,401500,399000,396000,392900,390200,387900,386200,385100,384100,383700,383200,382700,382900,383800,385200,387300,390100,393600,397100,400500,404100,407900,412100,416900,422400,429000,436800,445000,453400,462100,470200,477300,483400,489000,493700,497100,499300,501900,505700,509400,511600,512800,513900,515100,516400,518100,519800,521500,524300,527700,530300,532100,534100,536300,538700,540900,543200,546300,549600,552400,554800,556700,558000
54,"Texas",2,120000,120100,120600,121100,121500,121400,122700,126000,128800,130100,131000,131500,131700,132000,132400,132800,133200,133700,134100,134300,134700,135500,136100,136300,136400,136800,137400,137900,138500,139200,139600,139700,139800,140600,141500,142000,142700,144000,145200,146400,147500,148500,149200,149600,150000,150500,150700,150400,150500,150800,150900,150800,151100,151400,151500,151500,151600,151800,152100,152500,153100,153800,154300,154800,155200,155600,156300,156900,157100,157200,157400,157500,157700,157800,158200,158700,159200,159700,160300,160800,161200,161400,161800,162200,162400,162500,162600,162900,163200,163600,163700,163700,164400,166000,168000,170100,172100,173900,175300,176300,177200,178200,179000,179500,180000,180700,181300,181800,182300,182800,183100,183800,184500,184800,185000,185400,185800,186300,187200,188300,189300,190100,191000,191800,192100,192600,193400,194300,195300,196000,196400,197000,197500,197700,198100,198600,199200,199800,200500,201200,201600,200500,198500,196600,194700,192800,191500,190900,191000,191700,192300,193000,194000,194900,195800,196700,197400,197700,197900,198000,198300,198400,198100,197900,197400,196500,196000,195800,195900,197100,198300,198300,197600,196600,195300,194100,192800,192600,191700,190000,189900,190900,190900,191400,191900,191800,192100,191900,191500,192200,193400,194300,194500,194400,194700,195000,195100,195300,196000,197100,198000,198600,200100,201900,202900,203500,204300,205000,206100,207500,208600,209500,210700,211700,212600,213600,214500,214900,215700,216500,217400,218500,219900,221800,223600,225100,226800,228800,231000,233200,235300,236900,238400,239400,239900,240400,241300,242500,243700,245100,246000
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255500,255400,255100,254600,253700,253100,252700,252500,252000,251300,250600,250100,249900,249800,249300,249700,244300,235500,231300,232200,231900,231300,230300,229200,228300,227600,227000,226500,226600,226800,226800,226500,226400,226400,226100,225300,224700,224100,223400,222800,222500,222100,221500,220800,220000,219300,218900,218600,218300,217800,217400,217200,217100,216700,216300,216000,215800,215700,215500,215600,215800,216000,216200,216400,216600,216800,216900,216900,217100,217500,218200,219100,219700,220500,221400,222100,222500,223200,223600,224100,225000,225500,225500,225700,225800,225400,225100,225300,225700,226200,227100,228000,228300,228200,228100,227900,228000,228400,228700,228700,229200,230100,230900,231200,231300
14,"Florida",4,134700,134900,134800,134600,134500,134700,134800,134800,135100,135600,136300,136800,137100,137500,137900,138300,138700,139100,139400,139800,140500,141400,142200,142700,143300,143600,143800,144000,144600,145400,145800,146100,146800,147600,148300,149400,150300,150800,151400,152200,152800,153400,154200,155200,156200,157000,158000,159200,160200,161200,162100,163100,164100,165100,166300,167600,168800,170000,171400,172600,173600,174700,176000,177100,178200,179500,180900,182000,183000,184300,185600,187200,188800,190200,191600,193400,195100,196700,198600,200800,203100,205300,207200,208900,210800,212900,215000,217100,218900,220800,223000,225500,228100,230800,233500,236300,239400,243000,247200,251500,256000,260500,265100,269700,274400,279300,285100,291500,298600,306300,314000,321900,330000,337600,344300,350400,355700,360100,363900,367400,370200,371900,372300,372300,371700,370800,369500,368000,365700,363500,361500,359200,356200,353100,349400,345300,341300,337400,333300,329300,324900,319500,313700,307800,302000,296400,291000,285800,280400,275000,269900,264200,259700,257200,254700,250900,247200,243900,241100,238400,236100,234500,233400,232400,231400,230100,228800,227700,226400,225000,223900,222800,221500,219900,218300,216900,215600,214100,212800,211800,210800,209700,208700,207900,207300,206600,206300,206300,206600,207000,207700,208700,209800,211000,212400,213800,215300,216800,218100,219500,221100,222800,224400,226300,228400,230700,232900,235300,237800,240600,243600,246300,248400,250200,251400,253200,255900,258400,259800,260700,261700,262600,263400,264300,265200,266000,267500,269200,270400,271600,272800,274600,276400,277500,278400,279700,281200,282600,284000,285000,285600
21,"Illinois",5,171700,171300,171100,171300,172000,173100,173900,174200,175100,176600,177500,177700,178000,178200,178500,178900,179100,179200,179500,180100,180600,181100,181700,182300,182800,183300,184000,184500,185100,185800,186900,187800,188500,189300,190500,191700,192800,194000,194900,195700,196800,198000,199400,200900,202000,202900,204200,205800,207000,208200,209400,210500,211600,212600,213400,214300,215400,216600,217700,219000,220500,222100,223400,224600,226000,227300,228700,230400,231700,232800,233800,234900,236200,237500,238900,240400,241600,242900,244300,245500,246700,248000,249300,250700,252000,253600,255400,256900,258200,259300,260200,261000,262200,263800,265100,266300,267600,269100,270800,272600,274500,276300,277800,279500,281500,283400,285200,287100,289000,290600,292000,294000,296100,297800,299400,301200,302900,304500,306200,307800,309100,310100,310800,311100,311000,311200,311500,311600,311600,311700,312000,312200,312200,311600,310600,309700,308700,307600,306300,305000,303300,301400,299300,297100,295300,294100,292800,291100,289500,288100,286800,284800,282700,281000,279400,277600,275600,273800,272500,271300,270200,269400,268800,268300,267400,266700,265800,264700,263300,262000,260500,258800,257000,255300,253800,252600,251300,249800,248200,246900,245300,243800,242300,240900,239400,238200,237000,236000,235000,234000,233100,232500,232200,231800,231800,232100,232400,232300,232000,231900,232000,231900,232200,233200,234400,235700,237400,239500,241400,242800,244500,246700,248600,250300,251900,252900,253700,254700,255500,256000,256400,256800,256900,256600,256500,256900,257100,257300,257900,257900,257600,257500,258000,258700,259000,259400,260200,260900,261400,262000,262500
47,"Pennsylvania",6,153900,153900,153900,154000,154100,154100,154100,154200,154400,154600,154900,155200,155400,155500,155600,156000,156300,156600,157000,157400,157900,158500,159200,159900,160400,160600,160600,160500,160400,160600,161000,161600,162200,162900,163600,164300,164700,165000,165400,165800,166200,166700,167400,168000,168400,169100,170000,170700,171200,172000,173100,173900,174700,175500,176300,177000,177800,178500,179300,180200,181000,181800,182700,183700,184600,185400,186100,186900,187800,188900,190000,191100,192500,194100,195500,197100,198700,200100,201500,202900,204700,206600,208200,209700,211400,213200,215000,216800,218700,220800,222800,224700,226600,228300,229900,231600,233500,235300,237200,239300,241600,243800,245900,247900,250000,252200,254400,256500,258600,260400,262300,264200,266300,268500,270800,273200,274900,276300,277700,279200,280800,282300,283500,284300,284900,285300,285700,286000,286200,286700,287400,287800,288000,288100,288000,287600,287100,286600,286000,285000,283900,282800,281900,281000,280300,279700,279300,279000,278300,277300,276600,276200,275700,274900,273900,272900,272000,271100,270400,269700,269300,269200,269200,269100,269200,269500,269700,269500,269300,269000,268400,267700,266600,265500,264300,263300,262500,261600,260700,259900,259000,258000,257000,256300,256100,255900,255500,255400,255300,255000,254800,254800,254600,254300,254100,254300,254200,254000,253700,253300,252900,252600,252600,252900,253400,254200,255100,256200,257000,258400,260200,262000,263700,265400,266500,267600,268900,270300,271100,271300,271500,271700,271400,270800,270000,269900,270500,271000,271100,271300,271700,272500,273400,274100,274800,275400,275900,276600,277300,277800,278200
44,"Ohio",7,142400,142600,142600,142700,142900,143200,143400,143600,143700,144000,144400,144900,145300,145800,146200,146500,146800,147200,147700,148200,148700,149300,150100,150800,151100,151300,151600,152000,152300,152800,153200,153600,154300,155000,155500,156000,156500,157100,157900,158800,159400,159800,160000,160400,160900,161300,161900,162600,163300,164000,164500,164900,165300,165800,166200,166700,167100,167600,168100,168500,168900,169400,169800,170300,170700,171100,171500,172000,172600,173100,173400,173900,174500,175000,175400,175800,176300,176900,177400,177900,178400,179000,179500,180000,180700,181500,182300,183000,183700,184300,185100,186200,187100,187500,187800,188200,188600,188800,189000,189400,189800,190300,190700,191100,191600,192300,192900,193400,193900,194300,194500,194700,195100,195500,195700,195800,196100,196300,196600,196800,196700,196500,196600,196700,196600,196500,196400,196300,196000,195700,195400,195300,195000,194500,193900,193400,192800,192300,191600,190900,190100,189200,188300,187500,186700,186100,185600,185000,184400,184000,183400,182300,181600,181700,181800,181400,181000,180900,181000,181000,181100,181200,181400,181700,181800,181600,181400,181300,181100,180900,180800,180500,180000,179300,178700,178200,177600,176600,175800,175400,175100,174600,174300,174000,173900,173700,173500,173400,173400,173500,173400,173500,173800,174100,174300,174500,174800,175200,175300,175400,175600,176000,176400,176700,177000,177600,178600,179600,180300,181000,182200,183400,184500,185500,186300,187200,188000,188400,188600,189100,189300,189300,189600,190100,190600,191100,192100,193100,194100,194900,195400,195700,196300,196900,197500,198300,198800,199100,199300,199600,199800
30,"Michigan",8,174100,171800,170400,171000,170900,170200,170000,170600,171300,172100,173100,174600,176300,177900,179600,181000,181700,182600,183600,184500,185500,186500,187500,188700,190200,191500,192600,193500,194800,196100,197100,197900,199000,200100,201300,202600,204200,205700,207100,208200,209600,211200,212400,213500,214800,215900,217000,218500,220100,221400,222700,223900,225200,226300,227400,228500,229700,230600,231400,232600,233800,235000,236200,237300,237900,238700,239700,240300,240500,240900,241500,242000,242600,243700,244500,245200,246300,247500,248600,249600,250600,251300,251600,251700,252000,252500,253100,253800,254800,255500,256100,257000,258000,258800,259700,260500,261000,261400,261600,261700,261800,262200,262900,263600,264200,265000,265800,266200,266500,267000,267400,267400,267100,266800,266700,266800,266900,266300,265500,264900,264600,264000,262800,261400,260000,258500,257000,255400,253700,252000,250600,249400,248000,246300,244500,242700,240800,238700,236100,233500,230900,227900,224800,222200,219500,216400,213700,211300,209100,206600,203800,200800,198400,196800,195200,192600,189700,187500,186100,185100,184200,184000,184200,184300,184200,184100,184100,184200,184400,184700,184700,184200,183500,182800,182100,181700,181100,180600,180700,181100,181100,180800,180500,180600,181100,181700,182200,182900,184100,185300,186100,187200,188800,190700,192600,194600,196300,198100,199900,201800,203600,205200,206700,208400,210400,212800,215700,218800,221900,224600,227200,229600,231800,233700,235100,236900,239300,241900,243800,244800,245100,245300,245600,246300,246900,247400,248300,249400,250400,250900,251100,251300,252100,252900,253500,254200,255100,255900,256800,257600,258100
16,"Georgia",9,151100,150900,151000,151000,150800,150800,151200,151700,152200,152900,153300,153700,154400,155200,155500,156000,156600,157300,158100,158600,159100,159800,160500,161300,162100,162600,163100,163800,164700,165600,166600,167700,168700,169700,170800,172000,173100,174000,174800,175700,176800,178000,179000,179900,181000,182000,182800,183600,184500,185500,186700,187900,188800,189400,189800,190200,190600,191500,192400,193200,194100,195500,196600,197200,197700,198400,199200,200000,200500,200900,201600,202400,203000,203500,204100,205000,205700,206300,206800,207400,207800,208300,208900,209300,209500,209600,210100,210500,211000,211700,212300,213200,214400,215400,216100,217000,217700,218400,218900,219600,220400,221200,221900,222600,223500,224600,225700,226700,227800,228800,229800,230800,231900,232900,234100,235500,236600,237600,238800,240000,240800,241700,242600,243500,244300,245000,245600,246300,246500,245900,245400,245600,246100,246600,246900,246800,246700,246400,245800,244900,244100,243100,241600,239800,238200,236500,235000,233300,231200,229200,227100,224300,222100,221600,221300,220100,218600,217100,215900,214900,214400,213800,213300,213100,212500,211700,211200,210700,209900,209100,208100,206700,205400,204100,202800,201600,200400,198900,197500,196300,195100,193800,192600,191700,190800,190100,189500,189100,189100,188700,187900,187500,187600,187700,187800,188100,188400,188600,189100,189600,190200,191000,192000,193100,194700,196500,198300,200500,203000,205400,207600,209900,211900,213500,215100,216500,217700,219300,220900,221900,222500,223100,223700,224400,224900,225400,226500,228100,229300,230200,231100,232100,233100,234100,235100,236300,237600,238800,239800,240600,241200
36,"North Carolina",10,158000,158300,158500,158700,158600,158500,159000,159400,159400,160000,161600,162700,163200,164400,165800,166800,167500,168200,168900,169700,170100,170600,171800,173000,173400,173900,174600,175400,176500,177400,178000,178600,179100,179700,180600,181500,182100,182800,183200,183700,184100,184800,185500,186200,186300,186600,187700,188900,189300,190100,191000,191800,192500,193200,193900,194000,197300,200000,198800,196300,197100,197500,197400,197500,197900,198300,198600,199100,199200,199300,200000,200700,201000,201100,201500,202100,202400,202500,202800,203500,203900,204000,204700,205500,206200,207100,207800,208400,209300,210000,210500,211300,211900,212700,213800,215100,215900,216700,217700,218600,219300,220200,221400,222500,223300,224300,225700,227000,228200,229400,230600,231700,233200,235100,236800,238300,239700,240900,242100,243600,244900,245800,247000,248400,249800,251300,252700,254000,255100,256200,257100,258000,259000,260100,261000,261700,262200,262400,262300,262300,262100,261700,261300,261000,260700,260600,260400,260000,259400,258700,257700,256400,255400,255000,254800,253900,252800,252000,251500,250800,250000,249400,249100,248700,248200,247600,247000,246400,245900,245100,244100,243200,242400,241700,241000,240500,239700,238600,237500,236700,235900,235100,234500,234100,233700,233200,232800,232700,232900,233100,233000,232900,233300,234000,234400,234700,235100,235400,235600,235800,236100,236500,236900,237300,237800,238500,239500,240700,241700,242300,243000,243900,244900,246000,246900,247500,248300,249100,249600,249600,249600,249700,249900,249900,249800,249800,250800,252000,252900,253400,253800,254300,255100,255900,256700,257400,258300,259100,259700,260900,262300
40,"New Jersey",11,184400,184400,184500,184200,183600,183300,183100,182800,182800,183400,184300,185100,185200,185100,185200,185500,185500,185800,186400,186900,187500,188700,190400,191700,192600,192900,193000,193400,194300,195000,195600,196700,198000,199500,201100,202500,203800,205200,206800,208400,210300,212200,214000,215700,217500,219500,221400,223400,225500,227700,229600,231700,233800,235700,237900,240200,242300,244800,247000,249100,251300,253600,255900,258400,261300,264200,267100,269700,272200,274700,277600,280800,284200,287600,291200,294900,298700,302300,305900,309700,313600,317300,320900,324500,328000,331800,335900,339900,343800,347800,351400,355100,358700,362000,365200,368500,372200,376500,380900,385300,389700,394500,399200,403900,408600,413000,417100,421500,426300,430800,435000,439400,443100,446400,449800,453500,456600,459200,461200,463000,464900,466400,467100,467000,466500,465500,464200,462500,460700,459200,458100,457500,457100,456300,455100,453400,451400,449300,447800,446000,443800,441600,439400,436900,434200,431200,427900,425100,422600,420100,417500,414400,411900,410800,410200,408100,405500,403300,401400,400000,399100,398200,397700,397300,396700,395900,395200,394300,393000,391600,390500,389300,387800,386200,384500,383000,381700,379900,378000,376100,374100,371800,369600,367300,365600,363900,361900,360000,358600,357400,356100,354800,353800,353000,352300,352000,352100,351900,351400,351400,351500,351200,351000,351500,352200,353300,354700,356100,357400,358900,361000,363300,365700,367900,368900,370400,372400,374900,377700,379800,380000,380300,380600,380400,379300,378300,378400,379100,378900,377600,376400,375900,376300,376600,376900,377400,377800,378300,378900,379300,379300
56,"Virginia",12,172400,173100,173300,173000,172700,172600,172400,172300,172400,172900,173300,173400,173500,173400,173300,173400,173800,174200,174700,175200,175700,176400,177300,178000,178400,178600,179000,179300,179400,179800,180500,181400,182300,183100,184100,185100,185600,186200,187100,188000,188700,189500,190400,191400,192500,194000,195600,196900,198300,199700,201100,202600,204000,205200,206500,207900,209300,210800,212500,214400,216300,218100,219800,221600,223200,224800,226500,228300,230100,232000,233900,235800,237900,240200,242300,244500,246800,249000,250800,252900,255200,257600,260000,262200,264300,266300,268500,271000,273900,276800,279800,283000,286300,289800,293600,297400,301200,305500,310600,316400,322300,328300,334400,340300,345800,351400,357000,362800,368900,374900,380600,386200,391800,397300,402000,405900,408800,410700,412300,413800,415200,416300,416800,416100,414700,413000,411300,410100,408900,407300,405900,404900,404000,402700,400700,398100,394900,391500,388500,385800,382700,379200,375400,371300,366800,362400,358400,354800,351500,348700,345900,342500,339700,338500,337800,336300,334800,333400,332000,331000,330200,329800,329400,329500,329600,329300,328500,327900,327400,326900,326100,325100,324200,323500,322600,321600,320700,319700,318700,317800,317200,316500,316000,315900,315900,315900,315700,315800,316100,316400,316500,316700,316700,316700,317200,317800,318100,318200,318400,318700,319100,319400,319800,320500,321700,323400,325500,328200,331000,333400,335400,337200,339000,341200,343200,344600,345600,346400,346900,346900,346600,346100,345900,346000,345700,345600,346600,348000,348900,349200,349300,349300,349500,349900,350500,351400,352200,352600,352800,353300,353800
59,"Washington",13,173100,172900,173000,173200,173300,173500,174100,174900,175600,176400,177500,178700,179700,180800,181800,183000,184400,185600,186600,187700,189100,190400,191600,192700,194100,195300,196600,197800,198900,200200,201400,202600,203700,204700,206000,207700,209000,210100,211300,212500,213600,214800,216100,217300,218500,219800,221000,222000,222900,224100,225200,226300,227300,228300,229000,229600,230500,231600,232700,233600,234500,235500,236300,237000,238000,238800,239600,240500,241400,242200,243200,244100,244600,245200,246300,247400,248500,249700,250800,251800,252900,254300,255800,257200,258800,260000,260800,262000,263400,264700,266200,268000,270100,272300,274300,276600,279100,281700,284500,287300,290100,293200,296700,300400,304000,307500,311200,315200,319900,325000,330000,335200,340200,345300,350600,356000,360800,365300,369700,374300,378400,382100,385600,388900,391700,394200,396400,398400,399800,401000,402300,403600,404200,404500,404800,404900,404500,403300,401300,399100,397000,394300,391400,388600,385900,383200,379900,376800,374200,371500,367800,363700,360200,357500,355000,351800,348200,344900,341800,339300,337400,336100,335200,334500,333800,333000,331700,330100,328400,326500,324300,321700,318800,316200,314100,312100,310000,307900,305700,303200,300900,299000,297400,296100,294800,293700,293200,292800,292400,292500,293200,294200,295300,296800,298600,299700,300700,302100,303800,305600,307400,308900,310800,312800,315100,318200,322400,326700,330500,333700,336200,338300,340800,343000,344200,345800,348400,350500,351300,351800,352700,353000,353400,354400,355600,357200,359500,362500,366000,369100,371700,374500,377200,379500,382100,385300,388100,390400,393200,396900,400200
26,"Massachusetts",14,199900,199700,199700,199900,199900,200200,200400,200500,200900,201900,203000,203700,204600,205700,206500,207300,208400,209400,210500,212100,213900,216100,218200,220200,222000,224000,226000,228100,230100,232000,233600,235100,236600,238500,240400,242500,244700,247000,249500,252400,255500,258600,262000,265400,268900,272200,275600,279000,282500,286200,290300,294300,297800,301300,304500,308100,312100,316000,319700,323500,327400,331300,335000,338400,342000,345600,349400,353100,355800,358000,360700,363900,367300,370500,373900,377700,381500,385400,389200,393000,396800,401000,404600,407300,409500,411600,413500,415600,417900,420200,423100,426200,429500,432700,436300,440000,443500,446900,450200,453500,457200,460500,463300,466100,468900,471600,474500,477600,480500,482900,484600,485400,485900,486300,486100,485100,483800,482500,481300,480100,479000,477500,475500,473200,470600,468200,466100,464100,462300,460800,460000,459400,458600,457100,455300,453300,451300,449200,447200,445500,443400,441000,437800,434100,430500,427900,425700,423800,422100,420600,418800,416500,414700,413900,413000,411700,410700,410400,410700,411400,412100,412800,413400,414300,415100,415500,415200,415100,414700,414000,413100,412400,411600,410900,410300,409600,408700,407900,407000,406100,405000,404200,404000,403600,402900,402300,402100,402000,402000,401700,401600,402400,403600,404300,405500,407200,408700,409500,410300,411300,412300,413400,414600,416100,418000,420400,423900,427500,430700,433800,436700,439500,442400,445000,446600,448200,450200,451700,452300,451600,450100,448500,447500,446900,446400,446900,449200,452100,454000,455000,454700,455100,457600,461000,463300,465500,467900,470100,472500,474000,474300
22,"Indiana",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150700,150700,150600,150800,150800,150400,150200,150500,150800,150800,150600,150400,150400,150300,150300,150300,149800,149100,149200,149600,149500,149400,150100,151200,152200,153200,154500,155800,156700,157200,157400,158100,158800,159700,160800,161800,162700,163900,164900,165400,165700,166300,167200,168200,169200,170000,170400,170300,170300,170500,171200,171700,171500,170800,170000,169600,169800,170100,170500,171200,171800,171600,170900,170800,171000,170700,170600,170900,171400,171600,171400,171200,171200,171300,171300,171300,171400,171500,171500,171400,171400,171600,171800,171600,171200,170800,170400,169900,169400,168900,168500,168200,167800,167100,166500,166200,166100,165800,165600,165400,164900,164200,163800,163500,163300,163100,163000,162700,162200,161900,162000,162000,162100,162400,162200,161500,161000,160700,160500,160200,159900,159800,159600,159700,160400,160900,160800,160800,160900,160800,161100,161700,162000,162500,162800,162900,163300,164500,166200,168000,169700,171600,173500,174800,175500,175800,175700,175100,174500,174400,175100,174800,172600,170000,168500,167500,167300,167400,167700,168100,168400,168500,168600,169100,170100,170700,171200,171900,172600,172800,173300,174100,174900,174900,174600,174700,175300
8,"Arizona",16,128000,128100,128100,128200,128600,129200,129700,130000,130400,131300,132000,132100,132600,133200,133800,134300,134400,134900,135800,137000,138100,139500,140600,140900,141100,142100,143300,143600,143600,143900,144500,144900,145700,146700,147700,148500,149300,150000,150600,151200,152000,153000,153500,154200,155300,155700,157200,160000,161900,162500,163100,163900,164800,165400,165600,165800,166100,166900,167800,168000,167900,168100,168800,169600,169900,169900,170000,170800,172000,173500,174500,175700,177500,178800,179900,181500,182900,184300,186500,188400,189800,191300,192400,193300,194000,195100,196200,196200,195600,195800,196200,196700,197900,199500,201400,203600,205700,207900,210100,214200,220400,226700,232200,238000,242900,247400,252700,259800,268300,278000,288200,298600,307800,315800,322700,328700,333400,336900,339000,340400,341400,341900,342000,341800,341500,340100,338700,337600,335200,331700,328700,325700,322800,320400,317800,314800,312000,309400,306600,303500,299800,295400,290100,284600,279200,274100,268700,263300,257800,252500,247500,242400,239600,239500,238800,236000,232800,229300,225900,222700,220100,218000,215800,213600,211400,209200,207000,204500,201800,198900,195700,192400,188600,185200,182800,180900,179100,178000,178600,179600,179500,178600,177900,176900,176300,176600,177400,178900,181000,182700,184200,186400,189000,191800,195300,199100,202900,206900,210400,212800,214300,215700,217500,220400,224600,229300,233800,237700,240800,242200,242600,243700,245000,245200,244900,244800,245000,244900,244800,245200,245600,246100,246800,247700,248200,248900,249500,250100,250300,251000,251900,252800,254200,256400,258700,261000,262800,264000,264500,265000,265300
53,"Tennessee",17,143800,144500,145200,145500,146000,146700,147400,147900,148500,149200,149900,150400,150900,151500,152100,152900,153600,154200,154600,155200,156000,157200,158600,160000,161100,162100,162900,163800,164700,165500,166400,167300,168200,168900,169400,170000,170800,171700,172500,173200,173900,174600,175400,176200,177000,178100,179000,179500,179500,179700,179900,180100,180300,180300,180300,180700,181100,181300,181500,181800,182100,182300,182600,183100,183500,183700,184100,184600,184900,185200,185600,186200,186900,187300,187400,187700,188100,188300,188500,188800,189000,189300,189500,190000,190700,191400,192300,193300,194300,195400,196300,197000,197800,198500,199100,199800,200300,201000,201500,201800,202200,203100,204300,205400,206300,207300,208200,209100,210200,211500,212500,213700,215000,216300,217500,218400,219300,220500,221800,222700,223600,224700,226000,227200,228200,229100,230100,231200,232300,233000,233500,234100,234400,234600,234700,234800,234800,234500,233900,233100,232300,231800,231500,231000,230300,229700,229000,228200,227400,226500,225600,224600,224100,223900,223700,223100,222500,222000,221600,221100,220500,220100,219800,219600,219100,218400,217800,217600,217100,216500,216100,215800,215200,214400,213700,213300,213100,212700,212100,211600,211300,210800,210300,209800,209900,210200,210300,210200,210400,210500,210700,211100,211700,212100,212400,213100,213800,214100,214200,214500,214800,215000,215100,215600,216400,217200,218000,218900,220000,221300,222800,224100,225100,226000,226500,227300,228800,230000,230700,231200,231300,231600,232100,232300,232100,232300,233400,234700,235400,236100,237000,238000,238800,239600,240700,242300,243900,245300,246100,246500,246600
